Name;Sweep (T1);;;Name;Sweep (T1);;;
93450793,6507937;-80,4345626831055;-85,3214569091797;;93450793,6507937;-92,1873397827148;-98,2612380981445;;
93452380,952381;-82,280517578125;-85,3019104003906;;93452380,952381;-93,676872253418;-101,349311828613;;
93453968,2539683;-80,3069076538086;-82,2204208374023;;93453968,2539683;-94,9006195068359;-107,162780761719;;
93455555,5555556;-80,7919387817383;-83,0608901977539;;93455555,5555556;-93,7137985229492;-103,957931518555;;
93457142,8571429;-83,0049285888672;-83,5872116088867;;93457142,8571429;-93,0141220092773;-106,711502075195;;
93458730,1587302;-80,2227172851563;-83,0517578125;;93458730,1587302;-88,587516784668;-92,8291473388672;;
93460317,4603175;-81,0335998535156;-85,5683288574219;;93460317,4603175;-89,3496246337891;-95,9633941650391;;
93461904,7619048;-81,0180435180664;-85,5995330810547;;93461904,7619048;-90,089729309082;-95,7456665039063;;
93463492,0634921;-82,9701995849609;-85,8766326904297;;93463492,0634921;-87,4926834106445;-95,6510848999023;;
93465079,3650794;-82,7980728149414;-96,5133895874023;;93465079,3650794;-91,4668731689453;-97,5881042480469;;
93466666,6666667;-85,0780944824219;-88,027946472168;;93466666,6666667;-89,8464508056641;-97,2443771362305;;
93468253,968254;-86,1184539794922;-98,8143844604492;;93468253,968254;-94,1226577758789;-102,304069519043;;
93469841,2698413;-85,3623428344727;-99,2472229003906;;93469841,2698413;-89,5534057617188;-96,1538314819336;;
93471428,5714286;-87,6903228759766;-101,053932189941;;93471428,5714286;-91,7579574584961;-97,3932342529297;;
93473015,8730159;-87,7158432006836;-97,8351440429688;;93473015,8730159;-94,5475463867188;-97,825798034668;;
93474603,1746032;-92,5978698730469;-99,8421478271484;;93474603,1746032;-93,7051773071289;-102,401008605957;;
93476190,4761905;-95,0961685180664;-99,3612670898438;;93476190,4761905;-89,7559661865234;-93,4237365722656;;
93477777,7777778;-94,7903518676758;-105,458656311035;;93477777,7777778;-92,6315002441406;-94,3366851806641;;
93479365,0793651;-97,3747177124023;-104,114219665527;;93479365,0793651;-90,281379699707;-99,0107574462891;;
93480952,3809524;-97,0057754516602;-105,801605224609;;93480952,3809524;-89,3594818115234;-97,8899765014648;;
93482539,6825397;-94,6481552124023;-106,173866271973;;93482539,6825397;-91,6347732543945;-101,821441650391;;
93484126,984127;-99,0668792724609;-104,182174682617;;93484126,984127;-89,1193618774414;-95,15478515625;;
93485714,2857143;-89,6147918701172;-101,909561157227;;93485714,2857143;-90,5975494384766;-93,9535675048828;;
93487301,5873016;-89,5987701416016;-100,695739746094;;93487301,5873016;-89,4561004638672;-97,0848388671875;;
93488888,8888889;-98,7760848999023;-106,307647705078;;93488888,8888889;-86,0400238037109;-100,30696105957;;
93490476,1904762;-92,0693130493164;-105,039947509766;;93490476,1904762;-99,2458267211914;-110,22193145752;;
93492063,4920635;-89,9879608154297;-94,9717102050781;;93492063,4920635;-90,5777359008789;-103,434112548828;;
93493650,7936508;-90,4959564208984;-93,2720108032227;;93493650,7936508;-87,768669128418;-93,6711730957031;;
93495238,0952381;-93,2282867431641;-97,4723205566406;;93495238,0952381;-89,1602249145508;-95,2336349487305;;
93496825,3968254;-94,8942108154297;-102,964263916016;;93496825,3968254;-84,1989898681641;-94,9939422607422;;
93498412,6984127;-93,166130065918;-102,072250366211;;93498412,6984127;-82,5455017089844;-84,0122833251953;;
93500000;-97,1536483764648;-99,7272567749023;;93500000;-82,7631072998047;-98,3061294555664;;
93501587,3015873;-94,7022247314453;-100,542999267578;;93501587,3015873;-93,9639129638672;-104,08708190918;;
93503174,6031746;-91,0122604370117;-99,5809860229492;;93503174,6031746;-94,5314407348633;-104,128768920898;;
93504761,9047619;-89,2493896484375;-100,321792602539;;93504761,9047619;-92,776496887207;-99,7599029541016;;
93506349,2063492;-93,518180847168;-99,3596496582031;;93506349,2063492;-90,3823547363281;-96,7556381225586;;
93507936,5079365;-93,5579681396484;-101,744812011719;;93507936,5079365;-90,8374252319336;-95,3526992797852;;
93509523,8095238;-90,3986511230469;-99,7649459838867;;93509523,8095238;-91,0420684814453;-94,7605743408203;;
93511111,1111111;-93,8733520507813;-100,914451599121;;93511111,1111111;-91,7461395263672;-95,2122650146484;;
93512698,4126984;-93,9173736572266;-97,7312545776367;;93512698,4126984;-87,8872756958008;-101,854049682617;;
93514285,7142857;-87,4168090820313;-94,7398223876953;;93514285,7142857;-84,9924621582031;-89,7381896972656;;
93515873,015873;-90,7233581542969;-103,278480529785;;93515873,015873;-86,9338912963867;-94,6387176513672;;
93517460,3174603;-96,3037033081055;-104,030090332031;;93517460,3174603;-95,3901138305664;-101,933769226074;;
93519047,6190476;-96,0526123046875;-101,482513427734;;93519047,6190476;-98,0302581787109;-102,359275817871;;
93520634,9206349;-93,0522155761719;-98,8946533203125;;93520634,9206349;-88,6427459716797;-101,835632324219;;
93522222,2222222;-96,0963592529297;-103,390335083008;;93522222,2222222;-88,5966796875;-104,638412475586;;
93523809,5238095;-90,7915802001953;-97,0519866943359;;93523809,5238095;-92,0594711303711;-103,595504760742;;
93525396,8253968;-90,5729522705078;-94,9065628051758;;93525396,8253968;-90,5708847045898;-93,6761779785156;;
93526984,1269841;-89,3473815917969;-95,251594543457;;93526984,1269841;-90,3511123657227;-100,240921020508;;
93528571,4285714;-89,2762832641602;-103,075035095215;;93528571,4285714;-93,6935195922852;-108,00350189209;;
93530158,7301587;-94,6290588378906;-105,079864501953;;93530158,7301587;-91,2262802124023;-103,330871582031;;
93531746,031746;-94,5492477416992;-99,8041458129883;;93531746,031746;-99,3932647705078;-108,94416809082;;
93533333,3333333;-94,6996383666992;-99,7211227416992;;93533333,3333333;-96,4627838134766;-100,01904296875;;
93534920,6349206;-94,6129837036133;-100,62809753418;;93534920,6349206;-92,7294158935547;-97,8516159057617;;
93536507,9365079;-93,6204986572266;-97,2874603271484;;93536507,9365079;-91,8665771484375;-106,051483154297;;
93538095,2380952;-92,6641616821289;-95,948844909668;;93538095,2380952;-91,7577667236328;-94,5878829956055;;
93539682,5396825;-88,1321792602539;-94,5475387573242;;93539682,5396825;-93,6100692749023;-104,685081481934;;
93541269,8412698;-88,1643524169922;-101,482208251953;;93541269,8412698;-91,8021774291992;-95,9231796264648;;
93542857,1428571;-97,1635284423828;-105,206214904785;;93542857,1428571;-96,2583770751953;-103,102157592773;;
93544444,4444444;-94,7956085205078;-102,025581359863;;93544444,4444444;-94,067512512207;-101,098449707031;;
93546031,7460317;-92,8689880371094;-101,427062988281;;93546031,7460317;-92,2559280395508;-98,0371627807617;;
93547619,047619;-92,6722640991211;-95,0073318481445;;93547619,047619;-96,7107925415039;-104,341857910156;;
93549206,3492063;-95,2486343383789;-96,8025817871094;;93549206,3492063;-95,3933792114258;-107,553329467773;;
93550793,6507937;-90,1426391601563;-100,258186340332;;93550793,6507937;-92,9940567016602;-96,2408981323242;;
93552380,952381;-89,2218017578125;-99,5933685302734;;93552380,952381;-92,9120330810547;-96,1968688964844;;
93553968,2539683;-86,2161712646484;-90,384521484375;;93553968,2539683;-90,6077194213867;-92,5491790771484;;
93555555,5555556;-90,6364517211914;-94,3070068359375;;93555555,5555556;-90,5204772949219;-96,6068344116211;;
93557142,8571429;-93,4718627929688;-93,8445587158203;;93557142,8571429;-89,7911605834961;-98,2890853881836;;
93558730,1587302;-93,596565246582;-97,9183807373047;;93558730,1587302;-91,5122451782227;-100,543266296387;;
93560317,4603175;-90,9568405151367;-94,1709899902344;;93560317,4603175;-95,0666885375977;-100,129493713379;;
93561904,7619048;-90,4140777587891;-105,86393737793;;93561904,7619048;-97,5031890869141;-105,409339904785;;
93563492,0634921;-93,226806640625;-99,0630645751953;;93563492,0634921;-94,9449615478516;-106,896415710449;;
93565079,3650794;-91,3882369995117;-98,7349090576172;;93565079,3650794;-96,1751403808594;-99,3412551879883;;
93566666,6666667;-92,3745422363281;-94,5191040039063;;93566666,6666667;-95,9066619873047;-103,904502868652;;
93568253,968254;-89,8425521850586;-92,364501953125;;93568253,968254;-95,3102340698242;-103,618988037109;;
93569841,2698413;-90,6418075561523;-92,5621871948242;;93569841,2698413;-93,723876953125;-96,5158081054688;;
93571428,5714286;-92,8238525390625;-95,4424133300781;;93571428,5714286;-90,6657638549805;-97,1492233276367;;
93573015,8730159;-95,2163925170898;-109,123847961426;;93573015,8730159;-93,6416702270508;-98,2671127319336;;
93574603,1746032;-89,5367431640625;-100,552856445313;;93574603,1746032;-93,1326141357422;-98,1144104003906;;
93576190,4761905;-87,9122467041016;-89,2092132568359;;93576190,4761905;-91,1425628662109;-97,8595275878906;;
93577777,7777778;-89,1916046142578;-90,3343658447266;;93577777,7777778;-89,7790451049805;-104,321472167969;;
93579365,0793651;-90,4197387695313;-100,082252502441;;93579365,0793651;-97,0510101318359;-106,857215881348;;
93580952,3809524;-88,849739074707;-104,047706604004;;93580952,3809524;-92,1100997924805;-96,4218444824219;;
93582539,6825397;-88,8363494873047;-105,088012695313;;93582539,6825397;-92,4610443115234;-95,3600616455078;;
93584126,984127;-94,5120468139648;-100,330345153809;;93584126,984127;-89,2426681518555;-94,8427352905273;;
93585714,2857143;-93,9519195556641;-105,135833740234;;93585714,2857143;-89,9793395996094;-99,3812942504883;;
93587301,5873016;-93,5876693725586;-96,9635848999023;;93587301,5873016;-92,7945175170898;-108,508811950684;;
93588888,8888889;-90,9557037353516;-96,0016021728516;;93588888,8888889;-92,8197555541992;-103,180801391602;;
93590476,1904762;-90,9500274658203;-99,7978210449219;;93590476,1904762;-90,8187637329102;-93,7427520751953;;
93592063,4920635;-95,4540405273438;-107,224990844727;;93592063,4920635;-93,9269409179688;-102,180709838867;;
93593650,7936508;-94,8769836425781;-96,2858047485352;;93593650,7936508;-93,110466003418;-102,27018737793;;
